N,churn_rate,batch_index,fr_elapsed_ms,icc_elapsed_ms,speedup_ratio,efficiency_pct,n_affected,n_nodes,n_edges,n_batches_used,is_reduced_batch_count
50000,0.01,12,144057.24999998347,594938.9125000162,0.242137885038709,-312.9878312268799,39657,50000,108716,15,False
50000,0.01,13,142944.41140000708,593814.629600005,0.2407222797732262,-315.4164711891462,39455,50000,109367,15,False
50000,0.01,14,144199.2191000027,597940.3405000048,0.2411598772202283,-314.66267586742697,39695,50000,110022,15,False
50000,0.05,0,143286.2198999792,733707.6327000104,0.1952906219234662,-412.057358490003,49095,50000,106084,15,False
50000,0.05,1,160070.91980002588,736329.6965000045,0.2173902812298497,-360.0021649278268,49271,50000,109266,15,False
50000,0.05,2,146449.10070000333,744838.5387999879,0.1966185865408468,-408.5989161010744,49449,50000,112543,15,False
50000,0.05,3,153981.77020001458,747766.0004000063,0.2059224010153501,-385.6198233262911,49460,50000,115918,15,False
50000,0.05,4,155176.6334999993,750751.5865000023,0.206695045725353,-383.80453265858847,49505,50000,119395,15,False
50000,0.05,5,157509.6990999882,757527.1496000059,0.2079261438790113,-380.9400017449863,49577,50000,122976,15,False
50000,0.05,6,162327.1037999948,758184.224000026,0.2140998172496784,-367.0718606143519,49627,50000,126664,15,False
50000,0.05,7,178054.0699000121,766733.6821999925,0.232224139924466,-330.6184535015452,49703,50000,130463,15,False
50000,0.05,8,171444.184699998,771188.9370999997,0.2223115198523224,-349.8192449335429,49780,50000,134376,15,False
50000,0.05,9,176481.39430000447,770538.4662999713,0.229036449208624,-336.61172859395964,49790,50000,138406,15,False
50000,0.05,10,176196.85749997734,775745.5383999913,0.2271322860114554,-340.2720624004836,49843,50000,142558,15,False
50000,0.05,11,182983.91640000045,783386.0709000146,0.2335807633007494,-328.1174467746897,49875,50000,146833,15,False
50000,0.05,12,188976.6912000196,1028445.1544000184,0.1837498970086218,-444.2179921075431,49908,50000,151236,15,False
50000,0.05,13,231209.83989999516,893644.9982000049,0.2587267207511953,-286.5082033647582,49929,50000,155771,15,False
50000,0.05,14,203958.03650000016,848527.0206999849,0.2403671674848336,-316.0301968292307,49946,50000,160443,15,False
